Date,Open,High,Low,Close,Adj Close,Volume
2001-04-27,39.720001220703125,39.939998626708984,39.630001068115234,39.630001068115234,29.50438690185547,5000
2001-04-30,39.9900016784668,40.0,39.630001068115234,39.709999084472656,29.56395149230957,1000
2001-05-01,39.63999938964844,41.880001068115234,39.63999938964844,39.869998931884766,29.68308448791504,9200
2001-05-02,40.41999816894531,40.41999816894531,39.7599983215332,39.869998931884766,29.68308448791504,2000
2001-05-03,40.5,41.06999969482422,40.5,40.5,30.15210723876953,6200
2001-05-04,40.25,41.0,40.25,40.5,30.15210723876953,500
2001-05-07,40.5099983215332,40.75,40.5,40.75,30.338245391845703,2700
2001-05-08,40.5099983215332,40.93000030517578,40.5099983215332,40.93000030517578,30.47225570678711,700
2001-05-09,40.54999923706055,40.75,40.5,40.5,30.15210723876953,3400
2001-05-10,40.54999923706055,40.54999923706055,40.349998474121094,40.4900016784668,30.1446590423584,5400
2001-05-11,40.5,40.54999923706055,40.5,40.5,30.15210723876953,2100
2001-05-14,40.43000030517578,40.70000076293945,40.43000030517578,40.650001525878906,30.263776779174805,62300
2001-05-15,40.599998474121094,40.650001525878906,40.540000915527344,40.540000915527344,30.181884765625,12500
2001-05-16,40.560001373291016,40.630001068115234,40.560001373291016,40.599998474121094,30.41411590576172,10500
2001-05-17,40.349998474121094,40.599998474121094,40.349998474121094,40.58000183105469,30.399137496948242,1200
2001-05-18,40.349998474121094,40.349998474121094,40.349998474121094,40.349998474121094,30.226842880249023,300
2001-05-21,40.470001220703125,40.900001525878906,40.310001373291016,40.41999816894531,30.27927589416504,13700
2001-05-22,40.41999816894531,40.58000183105469,40.400001525878906,40.529998779296875,30.36166763305664,146600
2001-05-23,40.4900016784668,40.650001525878906,40.4900016784668,40.599998474121094,30.41411590576172,23300
2001-05-24,40.5,40.63999938964844,40.5,40.63999938964844,30.44408416748047,4500
2001-05-25,40.5,40.63999938964844,40.5,40.540000915527344,30.369165420532227,5600
2001-05-29,40.75,40.75,40.41999816894531,40.599998474121094,30.41411590576172,1900
2001-05-30,40.75,40.75,40.31999969482422,40.31999969482422,30.204360961914062,800
2001-05-31,40.75,40.75,40.310001373291016,40.310001373291016,30.196882247924805,2300
2001-06-01,40.599998474121094,40.599998474121094,40.099998474121094,40.45000076293945,30.301755905151367,7400
2001-06-04,40.5,40.689998626708984,40.5,40.689998626708984,30.481521606445312,2300
